reportId,latitude,longitude,postalCode
27569140,19.44541168212891,-99.16173553466797,"06400"
27376910,19.33133125305176,-99.22589874267578,"10200"
27142835,19.3179759979248,-99.2369384765625,"10000"
27139247,19.31966209411621,-99.236083984375,"10000"
26365013,19.41389274597168,-99.08549499511719,"15730"
26101690,19.25156021118164,-99.1627197265625,"14400"
25964923,19.52284812927246,-99.1458740234375,"07790"
25835968,19.28942108154297,-99.14736938476562,"14370"
25835735,19.28936767578125,-99.14732360839844,"14370"
25830780,19.32004547119141,-99.20949554443359,"01900"
25705676,19.34271812438965,-99.20700073242188,"01790"
25645842,19.40574645996094,-99.14982604980469,"06780"
25630768,19.42362976074219,-99.1629638671875,"06600"
25621774,19.3344612121582,-99.21759033203125,"10100"
25603363,19.40347290039062,-99.2052001953125,"11820"
25592957,19.40390968322754,-99.20532989501953,"11820"
25372818,19.3864917755127,-99.13910675048828,"03530"
25315224,19.34624481201172,-99.17382049560547,"04010"
25306548,19.34505271911621,-99.17166137695312,"04310"
25181894,19.3579216003418,-99.28871154785156,"05330"
25097147,19.28798294067383,-99.11801147460938,"14390"
24979325,19.47148895263672,-99.16628265380859,"02810"
24975740,19.46868705749512,-99.17987060546875,"02080"
24661315,19.46919250488281,-99.16737365722656,"02820"
24659072,19.40691947937012,-99.12196350097656,"15800"
24617017,19.3015079498291,-99.20891571044922,"14210"
24448413,19.49845886230469,-99.23719024658203,"53160"
24414725,19.4351692199707,-99.18328094482422,"11550"
24392362,19.29340934753418,-99.15006256103516,"14370"
24249610,19.46932983398438,-99.10966491699219,"07820"
24173853,19.37488746643066,-99.15868377685547,"03650"
24050015,19.29757881164551,-99.15155029296875,"14370"
24041878,19.40558433532715,-99.14867401123047,"06780"
24013774,19.40567207336426,-99.14856719970703,"06780"
23741812,19.42914009094238,-99.16429138183594,"06500"
23736558,19.46357536315918,-99.15889739990234,"06450"
23696165,19.39343452453613,-99.16244506835938,"03100"
23690638,19.43518447875977,-99.18303680419922,"11550"
23287197,19.31623840332031,-99.17467498779297,"00000"
23286345,19.29684257507324,-99.15320587158203,"14050"
23286253,19.29525566101074,-99.15530395507812,"14050"
23286207,19.29534149169922,-99.15522003173828,"14050"
23227993,19.42776107788086,-99.20278167724609,"11000"
23182044,19.35992240905762,-99.25898742675781,"01260"
22833645,19.41064834594727,-99.13919067382812,"06800"
22829088,19.30558204650879,-99.18464660644531,"04530"
