codigo,basureros,rank_basureros,reporte_falta_agua,rank_reporteagua,reportesretio,rank_reporteretio,aguaresidual,rank_aguaresidual,adecuacinsanitaria,rank_adecuacionsanitaria,fbasureros,freporte_falta_agua,freportesretio,faguaresidual,fadecuacinsanitaria,ranking
1269,0,1,0,,0,,0,1,.8994,2,1,1,1,1,4,2
1270,0,1,0,,0,,0,1,.9048,3,1,1,1,1,4,2
1270,0,1,0,,0,,0,1,.95169997,4,1,1,1,1,3,2
1270,0,1,0,,0,,0,1,.96350002,4,1,1,1,1,3,2
1270,0,1,0,,0,,0,1,.93970001,3,1,1,1,1,3,2
1270,0,1,0,,0,,0,1,.78219998,1,1,1,1,1,5,2
1270,0,1,0,,0,,0,1,.917,3,1,1,1,1,4,2
1275,0,1,0,1,0,1,0,1,.80110002,1,1,1,1,1,5,2
1276,0,1,0,1,0,1,0,1,.96130002,4,1,1,1,1,3,2
1278,0,1,0,1,0,1,0,1,.84979999,2,1,1,1,1,4,2
1279,0,1,0,1,0,1,0,1,.88419998,2,1,1,1,1,4,2
1280,0,1,0,,0,,0,1,.93239999,3,1,1,1,1,3,2
1280,0,1,0,,0,,0,1,.79089999,1,1,1,1,1,5,2
1280,0,1,0,,0,,0,1,.88419998,2,1,1,1,1,4,2
1280,0,1,0,,0,,0,1,.97570002,4,1,1,1,1,3,2
1280,0,1,0,,0,,0,1,.86839998,2,1,1,1,1,4,2
1285,0,1,0,1,0,1,0,1,.90799999,3,1,1,1,1,4,2
1289,0,1,0,1,0,1,0,1,.94270003,3,1,1,1,1,3,2
1290,0,1,0,,0,,0,1,.98430002,4,1,1,1,1,3,2
1290,0,1,0,,0,,0,1,.82990003,2,1,1,1,1,5,2
1296,0,1,0,,0,,0,1,.66280001,1,1,1,1,1,5,2
1296,0,1,0,,0,,0,1,.8107,2,1,1,1,1,5,2
1296,0,1,0,,0,,0,1,.77710003,1,1,1,1,1,5,2
1298,0,1,0,1,0,1,0,1,.9501,4,1,1,1,1,3,2
1299,0,1,0,,0,,0,1,.88419998,2,1,1,1,1,4,2
1299,0,1,0,,0,,0,1,.88419998,2,1,1,1,1,4,2
1310,0,1,0,1,0,1,0,1,.86519998,2,1,1,1,1,4,2
1320,0,1,2,3,0,1,0,1,.88129997,2,1,4,1,1,4,3
1329,0,,0,,1,4,0,,1,,1,1,5,1,2,2
1330,0,1,0,1,0,1,0,1,.98689997,4,1,1,1,1,2,2
1340,0,1,1,2,2,5,0,1,.94660002,3,1,4,5,1,3,3
1376,0,1,0,,0,,0,1,1,5,1,1,1,1,2,2
1376,0,1,0,,0,,0,1,1,5,1,1,1,1,2,2
1376,0,1,0,,0,,0,1,.80620003,1,1,1,1,1,5,2
1376,0,1,0,,0,,0,1,.9993,5,1,1,1,1,2,2
1377,0,1,0,1,0,1,0,1,.90210003,2,1,1,1,1,4,2
1379,0,,0,,0,1,0,,1,,1,1,1,1,2,2
1389,0,,0,,0,1,0,,1,,1,1,1,1,2,2
1400,0,1,0,,0,,0,1,.93940002,3,1,1,1,1,3,2
1400,0,1,0,,0,,0,1,.92500001,3,1,1,1,1,4,2
1407,0,1,0,1,0,1,0,1,.88700002,2,1,1,1,1,4,2
1408,0,1,0,1,0,1,0,1,.90069997,2,1,1,1,1,4,2
1410,0,1,0,,0,,0,1,.91589999,3,1,1,1,1,4,2
1410,0,1,0,,0,,0,1,.94410002,3,1,1,1,1,3,2
1419,1,5,0,1,0,1,1,5,.92320001,3,5,1,1,5,4,4
1420,0,1,0,,0,,0,1,.89639997,2,1,1,1,1,4,2
1420,0,1,0,,0,,0,1,.9623,4,1,1,1,1,3,2
1430,0,1,0,1,1,4,0,1,.99809998,5,1,1,5,1,2,2
1440,0,,0,,0,1,0,,1,,1,1,1,1,2,2
1450,0,1,0,1,0,,0,1,.93440002,3,1,1,1,1,3,2
1450,0,1,0,1,0,,0,1,.93440002,3,1,1,1,1,3,2
1450,0,1,0,1,0,,0,1,.93440002,3,1,1,1,1,3,2
1450,0,1,0,1,0,,0,1,.93440002,3,1,1,1,1,3,2
1460,1,5,0,1,0,1,0,1,.9867,4,5,1,1,1,2,3
1470,0,1,0,,0,,0,1,.98439997,4,1,1,1,1,3,2
1470,0,1,0,,0,,0,1,.97780001,4,1,1,1,1,3,2
1480,0,1,0,1,3,5,0,1,.99790001,5,1,1,5,1,2,2
1490,0,1,0,1,0,,0,1,.97909999,4,1,1,1,1,3,2
1490,0,1,0,1,0,,0,1,.97909999,4,1,1,1,1,3,2
1500,0,1,0,,0,,0,1,.83710003,2,1,1,1,1,5,2
1500,0,1,0,,0,,0,1,.66540003,1,1,1,1,1,5,2
1504,0,,0,,0,1,0,,1,,1,1,1,1,2,2
1505,0,,0,,0,1,0,,1,,1,1,1,1,2,2
1506,0,,0,,0,1,0,,1,,1,1,1,1,2,2
1507,0,,0,,0,1,0,,1,,1,1,1,1,2,2
1508,0,,0,,0,1,0,,1,,1,1,1,1,2,2
1509,0,1,0,1,0,1,0,1,.87599999,2,1,1,1,1,4,2
1510,0,1,0,,0,,0,1,.82620001,2,1,1,1,1,5,2
1510,0,1,0,,0,,0,1,.81019998,1,1,1,1,1,5,2
1510,0,1,0,,0,,0,1,.92089999,3,1,1,1,1,4,2
1520,0,1,0,,0,,0,1,.99489999,5,1,1,1,1,2,2
1520,0,1,0,,0,,0,1,.8373,2,1,1,1,1,5,2
1520,0,1,0,,0,,0,1,.87220001,2,1,1,1,1,4,2
1520,0,1,0,,0,,0,1,.79519999,1,1,1,1,1,5,2
