codigo,reportesretio,freportesretio
9233,0,1
9239,0,1
9240,0,1
9249,0,1
9260,0,1
9270,0,1
9280,0,1
9300,0,1
9319,0,1
9320,0,1
9330,0,1
9350,0,1
9359,0,1
9366,0,1
9368,0,1
9429,0,1
9437,0,1
9438,0,1
9450,0,1
9460,0,1
9470,0,1
9479,0,1
9480,0,1
9510,0,1
9519,0,1
9530,0,1
9540,0,1
9550,0,1
9560,0,1
9570,0,1
9578,0,1
9600,0,1
9608,0,1
9609,0,1
9620,1,4
9637,0,1
9638,0,1
9648,0,1
9660,0,1
9670,0,1
9680,0,1
9689,0,1
9690,0,1
9696,0,1
9698,0,1
9709,0,1
9710,0,1
9719,0,1
9759,0,1
9767,0,1
9768,0,1
9769,0,1
9770,0,1
9779,0,1
9789,0,1
9790,0,1
9809,0,1
9819,0,1
9828,0,1
9836,2,5
9837,1,4
9838,0,1
9840,0,1
9849,0,1
9858,0,1
9859,0,1
9864,0,1
9869,0,1
9889,0,1
9898,0,1
9899,0,1
9920,0,1
9930,1,4
9940,0,1
9969,0,1
9970,3,5
9979,0,1
10000,3,5
10020,0,1
10100,3,5
10110,0,1
10130,0,1
10200,5,5
10210,0,1
10290,0,1
10300,0,1
10309,0,1
10320,0,1
10330,0,1
10340,0,1
10350,0,1
10360,0,1
10368,0,1
10370,0,1
10378,0,1
10379,0,1
10380,0,1
10400,4,5
10500,1,4
10508,0,1
10509,0,1
10580,0,1
10589,0,1
10600,1,4
10610,0,1
10620,0,1
10630,0,1
10650,0,1
10660,0,1
10700,5,5
10710,0,1
10720,0,1
10730,0,1
10740,1,4
10800,0,1
10810,0,1
10820,0,1
10830,0,1
10900,0,1
10910,0,1
10920,0,1
10926,0,1
11009,0,1
11040,0,1
11109,0,1
11209,0,1
11210,0,1
11219,0,1
11230,1,4
11239,0,1
11240,0,1
11250,1,4
11259,0,1
11270,0,1
11280,1,4
11289,0,1
11300,6,5
11310,1,4
11311,0,1
11330,1,4
11340,0,1
11350,0,1
11360,0,1
11370,0,1
11379,0,1
11400,0,1
11420,0,1
11479,0,1
11489,0,1
11500,2,5
11501,0,1
11510,2,5
11511,0,1
11520,6,5
11529,1,4
11530,3,5
11540,0,1
11550,15,5
11560,1,4
11580,0,1
11587,0,1
11590,5,5
11600,0,1
11610,0,1
11640,0,1
11649,0,1
11650,0,1
11700,5,5
11810,2,5
11820,3,5
11830,1,4
11840,2,5
11860,1,4
11869,0,1
11870,3,5
11920,1,4
11930,0,1
11950,10,5
12009,0,1
12070,0,1
12080,0,1
12250,0,1
12300,0,1
12410,0,1
12500,0,1
12600,0,1
12700,0,1
12800,0,1
12910,0,1
12920,0,1
12930,0,1
12940,0,1
12950,0,1
13000,0,1
13009,0,1
13010,0,1
13020,0,1
13030,0,1
13040,0,1
13050,0,1
13063,0,1
13090,0,1
13093,0,1
13094,0,1
13099,1,4
13110,0,1
13119,0,1
13123,0,1
13129,0,1
13150,0,1
13180,0,1
13200,0,1
13209,0,1
13210,0,1
13220,0,1
13229,0,1
13230,0,1
13250,0,1
13273,0,1
13280,0,1
13310,0,1
13315,0,1
13318,0,1
13363,0,1
13400,0,1
13419,0,1
13420,0,1
13429,0,1
13430,0,1
13460,0,1
13500,0,1
13509,0,1
13510,0,1
13520,0,1
13529,0,1
13545,0,1
13546,0,1
13549,0,1
13559,0,1
13600,0,1
13601,0,1
13610,0,1
13625,0,1
13630,0,1
13640,0,1
14009,0,1
14010,3,5
14017,0,1
14020,5,5
14030,3,5
14049,0,1
14050,13,5
14060,1,4
14090,4,5
14098,0,1
14120,0,1
14129,0,1
14130,5,5
14140,3,5
14141,0,1
14148,0,1
14149,0,1
14150,0,1
14160,0,1
14208,0,1
14209,0,1
14210,3,5
14230,0,1
14239,0,1
