codigo,aguaresidual,faguaresidual
2790,0,1
2800,0,1
2820,0,1
2850,0,1
2860,0,1
2870,0,1
2900,0,1
2910,0,1
2920,0,1
2930,0,1
2940,0,1
2950,0,1
2960,0,1
2970,0,1
2990,0,1
3000,0,1
3010,0,1
3027,0,1
3028,0,1
3103,0,1
3104,0,1
3109,0,1
3199,0,1
3200,0,1
3219,0,1
3220,0,1
3229,0,1
3230,0,1
3240,0,1
3300,1,5
3303,0,1
3310,1,5
3311,1,5
3313,0,1
3319,0,1
3320,0,1
3330,0,1
3339,0,1
3340,0,1
3410,0,1
3420,0,1
3430,0,1
3440,1,5
3500,0,1
3510,0,1
3520,0,1
3530,0,1
3540,0,1
3550,0,1
3560,0,1
3570,0,1
3580,0,1
3590,0,1
3600,0,1
3610,0,1
3620,0,1
3630,0,1
3640,0,1
3650,0,1
3660,0,1
3700,0,1
3710,0,1
3720,0,1
3730,0,1
3740,0,1
3800,0,1
3809,0,1
3810,0,1
3818,0,1
3819,0,1
3820,0,1
3840,0,1
3849,0,1
3900,0,1
3910,0,1
3920,0,1
3930,0,1
3940,0,1
3949,0,1
4000,0,1
4009,0,1
4010,0,1
4020,0,1
4030,0,1
4040,0,1
4100,0,1
4110,0,1
4129,0,1
4200,0,1
4210,0,1
4230,0,1
4239,0,1
4240,0,1
4250,0,1
4259,0,1
4270,0,1
4280,0,1
4300,0,1
4307,0,1
4309,0,1
4317,0,1
4318,0,1
4326,0,1
4327,0,1
4336,0,1
4337,0,1
4338,0,1
4359,0,1
4368,0,1
4369,0,1
4400,0,1
4420,0,1
4450,0,1
4489,0,1
4500,0,1
4510,0,1
4519,0,1
4530,0,1
4535,0,1
4600,0,1
4610,0,1
4620,0,1
4630,0,1
4640,0,1
4710,0,1
4718,0,1
4720,0,1
4729,0,1
4739,0,1
4810,0,1
4815,0,1
4840,0,1
4843,0,1
4849,0,1
4850,0,1
4859,0,1
4899,0,1
4908,0,1
4910,0,1
4918,0,1
4919,0,1
4920,0,1
4921,0,1
4929,0,1
4930,0,1
4938,0,1
4939,0,1
4940,0,1
4950,0,1
4960,0,1
4970,0,1
5000,0,1
5009,0,1
5010,0,1
5020,0,1
5039,1,5
5060,0,1
5100,0,1
5109,0,1
5110,0,1
5118,0,1
5119,0,1
5126,0,1
5128,0,1
5130,0,1
5200,0,1
5214,0,1
5219,0,1
5220,0,1
5230,0,1
5238,0,1
5240,0,1
5249,0,1
5260,0,1
5268,0,1
5269,0,1
5270,0,1
5280,0,1
5310,0,1
5320,1,5
5348,0,1
5349,0,1
5360,0,1
5370,0,1
5379,0,1
5400,0,1
5500,0,1
5501,0,1
5520,0,1
5530,0,1
5610,0,1
5619,0,1
5620,0,1
5700,0,1
5710,0,1
5730,0,1
5750,0,1
5760,0,1
5780,0,1
6000,0,1
6010,0,1
6018,0,1
6020,0,1
6030,0,1
6038,0,1
6039,0,1
6040,0,1
6050,0,1
6057,0,1
6058,0,1
6060,0,1
6065,0,1
6066,0,1
6067,0,1
6068,0,1
6070,0,1
6079,0,1
6080,0,1
6090,0,1
6100,0,1
6140,0,1
6170,0,1
6171,0,1
6179,0,1
6199,0,1
6220,0,1
6240,0,1
6250,0,1
6270,0,1
6280,0,1
6300,0,1
6302,1,5
6309,0,1
6350,0,1
6357,0,1
6400,0,1
6430,0,1
6450,0,1
6479,0,1
6500,0,1
6589,0,1
6597,0,1
6598,0,1
6599,0,1
6600,1,5
6606,0,1
6609,0,1
6691,0,1
6692,0,1
6693,0,1
6694,0,1
6695,0,1
6696,0,1
6698,0,1
6699,0,1
6700,0,1
6703,0,1
6704,0,1
6707,0,1
6720,0,1
6724,0,1
6725,0,1
6727,0,1
6728,0,1
6729,0,1
6740,0,1
6780,0,1
6796,0,1
6797,0,1
6798,0,1
6800,0,1
6820,0,1
6840,0,1
6850,0,1
6860,0,1
6870,0,1
6880,0,1
6890,0,1
6900,0,1
6920,0,1
6995,0,1
7000,0,1
7020,0,1
7040,0,1
7050,0,1
7058,0,1
7059,0,1
7060,0,1
7069,0,1
7080,0,1
7089,0,1
7109,0,1
7110,0,1
7149,0,1
7160,0,1
7170,0,1
7183,0,1
7187,0,1
7188,0,1
7189,0,1
7190,0,1
7199,0,1
7200,0,1
7207,0,1
7208,0,1
7209,0,1
7210,0,1
7214,0,1
7224,0,1
7230,0,1
7239,0,1
7240,0,1
7250,0,1
7259,0,1
7268,0,1
7269,0,1
7270,0,1
7279,0,1
7290,0,1
7309,0,1
7310,0,1
7323,0,1
7326,0,1
7327,0,1
7328,0,1
7329,0,1
7330,0,1
7349,0,1
7359,0,1
7363,0,1
7369,0,1
7370,0,1
7400,0,1
7430,0,1
7440,0,1
7450,0,1
7455,0,1
7458,0,1
7459,0,1
7460,0,1
7469,0,1
7470,0,1
7480,0,1
7500,0,1
7510,0,1
7520,0,1
7540,1,5
7548,0,1
7550,0,1
7560,0,1
7570,0,1
7580,0,1
7600,0,1
7620,0,1
7630,1,5
7640,0,1
7650,0,1
7660,0,1
7670,0,1
7680,0,1
7707,0,1
7708,0,1
7709,0,1
7710,0,1
7720,0,1
7729,1,5
7738,0,1
7739,0,1
7740,0,1
7750,0,1
7754,0,1
7755,0,1
7760,0,1
7800,0,1
7810,0,1
7830,0,1
7838,0,1
7839,0,1
7858,0,1
7859,0,1
7869,0,1
7880,0,1
7889,0,1
7899,0,1
7900,0,1
7909,0,1
7910,0,1
7918,0,1
7919,0,1
7930,0,1
7939,0,1
7940,0,1
7950,0,1
7958,0,1
7959,0,1
7970,0,1
7990,0,1
8000,0,1
8009,0,1
8010,0,1
8020,0,1
8029,0,1
8030,0,1
8100,0,1
8160,0,1
8170,0,1
8180,0,1
8188,0,1
8189,0,1
8200,0,1
8210,0,1
8220,0,1
8230,0,1
8240,0,1
8300,0,1
8310,0,1
8320,0,1
8420,0,1
8500,0,1
8501,0,1
8510,0,1
8520,0,1
8560,0,1
8580,0,1
8600,0,1
8610,0,1
8619,0,1
8650,0,1
8700,0,1
8710,0,1
8720,0,1
8730,0,1
8770,0,1
8800,0,1
8810,0,1
8830,0,1
8840,0,1
8900,0,1
8910,0,1
8920,0,1
9009,0,1
9010,0,1
9020,0,1
9030,0,1
9070,0,1
9089,0,1
9090,0,1
9099,0,1
9100,0,1
9110,0,1
9120,0,1
9130,0,1
9140,0,1
9170,0,1
9180,1,5
9200,0,1
9207,0,1
9219,0,1
9220,0,1
9226,0,1
9228,0,1
9229,0,1
9233,0,1
9239,0,1
9240,0,1
9249,0,1
9260,0,1
9270,0,1
9280,0,1
9300,0,1
9319,0,1
9320,0,1
9330,0,1
9350,0,1
9359,0,1
9366,0,1
9368,0,1
9429,0,1
9437,0,1
9438,0,1
9450,0,1
9460,0,1
9470,0,1
9479,0,1
9480,0,1
9510,0,1
9519,0,1
9530,0,1
9540,0,1
9550,0,1
9560,0,1
9570,0,1
9578,0,1
9600,0,1
9608,0,1
9609,0,1
9620,0,1
9637,0,1
9638,0,1
9648,0,1
9660,0,1
9670,0,1
9680,0,1
9689,0,1
9690,0,1
9696,0,1
9698,0,1
9709,0,1
9710,0,1
9719,0,1
9759,0,1
9767,0,1
9768,0,1
9769,0,1
9770,0,1
9779,0,1
9789,0,1
9790,0,1
9809,0,1
9819,0,1
9828,0,1
9836,0,1
9837,0,1
9838,0,1
9840,0,1
9849,0,1
9858,0,1
9859,0,1
9864,0,1
9869,0,1
9889,0,1
9898,0,1
9899,0,1
9920,0,1
9930,0,1
9940,0,1
9969,0,1
9970,0,1
9979,0,1
10000,0,1
10020,0,1
10100,0,1
10110,0,1
10130,0,1
10200,0,1
10210,0,1
10290,0,1
10300,1,5
10309,0,1
10320,0,1
10330,0,1
10340,0,1
10350,0,1
10360,0,1
10368,0,1
10370,0,1
10378,0,1
10379,0,1
10380,0,1
10400,0,1
10500,0,1
10508,0,1
10509,0,1
10580,0,1
10589,0,1
10600,0,1
10610,0,1
10620,0,1
10630,0,1
10650,0,1
10660,0,1
10700,0,1
10710,0,1
10720,0,1
10730,0,1
10740,0,1
10800,0,1
10810,0,1
10820,0,1
10830,0,1
10900,1,5
10910,0,1
10920,0,1
10926,0,1
11009,0,1
11040,0,1
11109,0,1
11209,0,1
11210,0,1
11219,0,1
11230,0,1
11239,0,1
11240,0,1
11250,0,1
11259,0,1
11270,0,1
11280,0,1
11289,0,1
11300,0,1
11310,0,1
11311,0,1
11330,0,1
11340,0,1
11350,0,1
11360,0,1
11370,0,1
11379,0,1
11400,0,1
11420,0,1
11479,0,1
11489,0,1
11500,0,1
11501,0,1
11510,0,1
11511,0,1
11520,0,1
11529,0,1
11530,0,1
11540,0,1
11550,0,1
11560,0,1
11580,0,1
11587,0,1
11590,0,1
11600,0,1
11610,0,1
11640,0,1
