codigo,basureros,rank_basureros,reporte_falta_agua,rank_reporteagua,reportesretio,rank_reporteretio,aguaresidual,rank_aguaresidual,adecuacinsanitaria,rank_adecuacionsanitaria,dup,fbasureros,freporte_falta_agua,freportesretio,faguaresidual,fadecuacinsanitaria,ranking
1856,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
1857,0,1,0,1,0,1,0,1,.81779999,2,0,1,1,1,1,3,2
1859,0,1,0,1,0,1,0,1,.7026,1,0,1,1,1,1,3,2
1860,0,1,0,1,0,1,0,1,.8714,2,0,1,1,1,1,3,2
1863,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
1870,0,1,0,1,2,5,0,1,.86220002,2,0,1,1,5,1,3,3
1900,1,5,0,1,29,5,0,1,.9939,5,0,5,1,5,1,5,4
1904,0,1,0,1,0,1,0,1,.96939999,4,0,1,1,1,1,4,2
1940,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
1990,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
2000,0,1,5,4,1,4,0,1,.96249998,4,0,1,4,4,1,4,3
2008,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
2090,0,1,11,4,0,1,0,1,.97350001,4,0,1,5,1,1,4,3
2099,0,1,3,3,0,1,0,1,.9152,3,0,1,4,1,1,4,3
2120,0,1,10,4,0,1,0,1,.95609999,4,0,1,5,1,1,4,3
2125,0,1,20,5,0,1,0,1,.95609999,4,0,1,5,1,1,4,3
2127,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
2128,0,1,0,1,0,1,0,1,.99690002,5,0,1,1,1,1,5,2
2129,0,1,1,2,0,1,0,1,.89039999,2,0,1,3,1,1,3,2
2130,0,1,0,1,0,1,0,1,.88150001,2,0,1,1,1,1,3,2
2140,0,1,0,1,0,1,0,1,.87510002,2,0,1,1,1,1,3,2
2160,0,1,4,4,0,1,0,1,.9788,4,0,1,4,1,1,5,3
2169,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
2200,1,5,2,3,0,1,0,1,.94559997,3,0,5,4,1,1,4,3
2230,0,1,9,4,0,1,0,1,.94529998,3,0,1,5,1,1,4,3
2250,0,1,8,4,0,1,0,1,.90920001,3,0,1,4,1,1,4,3
2260,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
2300,0,1,33,5,3,5,0,1,.861,2,0,1,5,5,1,3,3
2310,0,1,9,4,0,1,0,1,.81720001,2,0,1,5,1,1,3,2
2320,0,1,0,1,1,4,0,1,.9357,3,0,1,1,4,1,4,3
2330,0,1,0,1,0,1,0,1,.92769998,3,0,1,1,1,1,4,2
2340,0,1,0,1,0,1,0,1,.71130002,1,0,1,1,1,1,3,2
2350,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
2360,0,1,9,4,0,1,0,1,.74409997,1,0,1,5,1,1,3,2
2409,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
2410,0,1,6,4,0,1,0,1,.99870002,5,0,1,4,1,1,5,3
2419,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
2430,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
2440,0,1,8,4,0,1,0,1,.90990001,3,0,1,4,1,1,4,3
2459,0,1,13,4,0,1,0,1,.95190001,4,0,1,5,1,1,4,3
2470,0,1,3,3,0,1,0,1,.91530001,3,0,1,4,1,1,4,3
2479,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
