codigo,basureros,reporte_falta_agua,reportesretio,aguaresidual,adecuacinsanitaria,fbasureros,freporte_falta_agua,freportesretio,faguaresidual,fadecuacinsanitaria,ranking
1376,0,0,0,0,.9993,1,1,1,1,1,1
1376,0,0,0,0,.8062,1,1,1,1,5,5
1376,0,0,0,0,1,1,1,1,1,1,1
1376,0,0,0,0,1,1,1,1,1,1,1
1377,0,0,0,0,.9021,1,1,1,1,4,4
1379,0,0,0,0,,1,1,1,1,,0
1389,0,0,0,0,,1,1,1,1,,0
1400,0,0,0,0,.9394,1,1,1,1,3,3
1400,0,0,0,0,.925,1,1,1,1,3,3
1407,0,0,0,0,.887,1,1,1,1,4,4
1408,0,0,0,0,.9007,1,1,1,1,4,4
1410,0,0,0,0,.9159000000000001,1,1,1,1,3,3
1410,0,0,0,0,.9441000000000001,1,1,1,1,3,3
1419,1,0,0,1,.9232,5,1,1,5,3,4
1420,0,0,0,0,.9623,1,1,1,1,2,2
1420,0,0,0,0,.8964,1,1,1,1,4,4
1430,0,0,1,0,.9981,1,1,5,1,1,2
1440,0,0,0,0,,1,1,1,1,,0
1450,0,0,0,0,,1,1,1,1,,0
1450,0,0,0,0,.9344,1,1,1,1,3,3
1450,0,0,0,0,,1,1,1,1,,0
1450,0,0,0,0,,1,1,1,1,,0
1460,1,0,0,0,.9867,5,1,1,1,2,3
1470,0,0,0,0,.9844000000000001,1,1,1,1,2,2
1470,0,0,0,0,.9778,1,1,1,1,2,2
1480,0,0,3,0,.9979,1,1,5,1,1,2
1490,0,0,0,0,.9791,1,1,1,1,2,2
1490,0,0,0,0,,1,1,1,1,,0
1500,0,0,0,0,.6654,1,1,1,1,5,5
1500,0,0,0,0,.8371,1,1,1,1,4,4
1504,0,0,0,0,,1,1,1,1,,0
1505,0,0,0,0,,1,1,1,1,,0
1506,0,0,0,0,,1,1,1,1,,0
1507,0,0,0,0,,1,1,1,1,,0
1508,0,0,0,0,,1,1,1,1,,0
1509,0,0,0,0,.876,1,1,1,1,4,4
1510,0,0,0,0,.9209000000000001,1,1,1,1,3,3
1510,0,0,0,0,.8262000000000001,1,1,1,1,4,4
1510,0,0,0,0,.8102,1,1,1,1,5,5
1520,0,0,0,0,.8373,1,1,1,1,4,4
1520,0,0,0,0,.9139000000000001,1,1,1,1,3,3
1520,0,0,0,0,.9949,1,1,1,1,1,1
1520,0,0,0,0,.8722,1,1,1,1,4,4
1520,0,0,0,0,.7952,1,1,1,1,5,5
1530,0,0,0,0,.9132,1,1,1,1,3,3
1537,0,0,0,0,,1,1,1,1,,0
1538,0,0,1,0,.9279,1,1,5,1,3,3
1539,0,0,0,0,1,1,1,1,1,1,1
1539,0,0,0,0,.8153,1,1,1,1,4,4
1540,0,0,0,0,.8252,1,1,1,1,4,4
1540,0,0,0,0,.9375,1,1,1,1,3,3
1540,0,0,0,0,,1,1,1,1,,0
1540,0,0,0,0,.9193,1,1,1,1,3,3
1540,0,0,0,0,.9297,1,1,1,1,3,3
1548,0,0,0,0,.8804,1,1,1,1,4,4
1549,0,0,0,0,.8734,1,1,1,1,4,4
1550,0,0,0,0,.8971,1,1,1,1,4,4
1550,0,0,0,0,.8926,1,1,1,1,4,4
1550,0,0,0,0,.9845,1,1,1,1,2,2
1560,0,0,0,0,.8785,1,1,1,1,4,4
1560,0,0,0,0,.987,1,1,1,1,2,2
1560,0,0,0,0,.9781,1,1,1,1,2,2
1560,0,0,0,0,.9675,1,1,1,1,2,2
1566,0,0,0,0,.9916,1,1,1,1,1,1
1567,0,0,0,0,.8926,1,1,1,1,4,4
1569,0,0,0,0,.9437,1,1,1,1,3,3
1580,0,0,0,0,,1,1,1,1,,0
1580,0,0,0,0,,1,1,1,1,,0
1585,0,0,0,0,,1,1,1,1,,0
1586,0,0,0,0,,1,1,1,1,,0
1587,0,0,0,0,,1,1,1,1,,0
1588,0,0,0,0,.9519,1,1,1,1,2,2
1589,0,0,0,0,,1,1,1,1,,0
1590,0,0,0,0,1,1,1,1,1,1,1
1600,0,0,0,0,.9759,1,1,1,1,2,2
1600,0,0,0,0,,1,1,1,1,,0
1610,0,0,0,0,.9668,1,1,1,1,2,2
1610,0,0,0,0,.9377,1,1,1,1,3,3
1618,0,0,0,0,1,1,1,1,1,1,1
1618,0,0,0,0,.9977,1,1,1,1,1,1
1619,0,0,0,0,.9722,1,1,1,1,2,2
1619,0,0,0,0,1,1,1,1,1,1,1
1620,0,0,1,0,.9869,1,1,5,1,2,2
1630,0,0,0,0,.8524000000000001,1,1,1,1,4,4
1630,0,0,0,0,.9566,1,1,1,1,2,2
1630,0,0,0,0,.9209000000000001,1,1,1,1,3,3
1630,0,0,0,0,.9646,1,1,1,1,2,2
1640,1,0,0,0,.9817,5,1,1,1,2,3
1645,0,0,0,0,.9323,1,1,1,1,3,3
1650,0,0,0,0,.906,1,1,1,1,3,3
1650,0,0,0,0,.8443000000000001,1,1,1,1,4,4
1650,0,0,0,0,.8721,1,1,1,1,4,4
1650,0,0,0,0,.876,1,1,1,1,4,4
1650,0,0,0,0,.9677,1,1,1,1,2,2
1650,0,0,0,0,.6685,1,1,1,1,5,5
1650,0,0,0,0,.6693,1,1,1,1,5,5
1700,1,0,0,1,.7243000000000001,5,1,1,5,5,5
1700,1,0,0,1,.8677,5,1,1,5,4,4
1700,1,0,0,1,.8342000000000001,5,1,1,5,4,4
1700,1,0,0,1,.9502,5,1,1,5,3,4
1700,1,0,0,1,.1579,5,1,1,5,5,5
1700,1,0,0,1,.8769,5,1,1,5,4,4
1708,0,0,0,0,.8074,1,1,1,1,5,5
1708,0,0,0,0,.8448,1,1,1,1,4,4
1710,1,0,0,0,.9845,5,1,1,1,2,3
1710,1,0,0,0,.9916,5,1,1,1,1,2
1720,0,0,2,0,.9909,1,1,5,1,1,2
